Visitor ID,Name,Initiated Time,Page,Mode,Question,IP,Keyword,Campaign Medium,Campaign Name,Campaign Source,State,Source
b934b55d-9f69-422b-9a38-34044f4bba66_a11,Visitor 264013,"02 Sep, 2024 09:42 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejoRJ&utm_content=ad05&utm_term=contratar%20auxiliar%20administrativo&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Fc-5CTF4BlXxeCCGS4Ody3AQJpawtey3aDo1ad0XiOL20qQ7yIM_hoCUt,Desktop,Busco Emprego,201.17.121.31,contratar auxiliar administrativo,pesquisa,varejorj,google,rio de janeiro,Adwords
ce3dfbf6-832a-4f3b-8890-4404d1c36717_a11,Visitor 679007,"02 Sep, 2024 09:43 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad02&utm_term=contratar%20designer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9FONRgFbmpNiT5BKtiiDe1awqg6JXO6lLXvOgK6k70kuIp1Afz39mRoCZsAQAvD_BwE,Desktop,Busco Emprego,179.105.129.67,contratar designer,pesquisa,ti,google,bahia,Adwords
29fcb880-d4a3-43c3-883f-265272ba336b_a11,Visitor 428878,"02 Sep, 2024 09:47 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9An7vAfejnSnqQuCLsFiHTlpAl8F9XmojJV3fWv8IgYkT6V2tvPxwxoCkAkQAvD_BwE,Mobile,Quero Contratar,191.223.3.157,contratar pedreiro,pesquisa,construcao,google,mato grosso,Adwords
679cfa07-8380-4479-973d-7e06e58413ef_a11,Visitor 821661,"02 Sep, 2024 09:50 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad03&utm_term=contratar%20programador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Il5sib_ENZP4d2JmFFa2X9kQ4siBS41ZSIp5ia8f1qm-33PPsK5JxoCfPwQAvD_BwE,Mobile,Quero Contratar,45.4.35.91,contratar programador,pesquisa,ti,google,sao paulo,Adwords
b-Whatsapp_5521984850162_3040000001520678,@renata Bezerra,"02 Sep, 2024 10:22 AM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
3891c3ac-01bc-42eb-a0dc-7d66c3e5470c_a11,Visitor 963891,"02 Sep, 2024 10:25 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpezaRJ&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9E2sxEY9qSJ67bEl9SNKvfTBW0RG8x46soU7gxD8OgAM2XNV7vnUQhoCLBkQAvD_BwE,Mobile,Busco Emprego,186.216.10.69,diarista,pesquisa,pacotelimpezarj,google,rio de janeiro,Adwords
35788edb-6de9-4383-bf22-5ed8c88abf08_a11,Visitor 376443,"02 Sep, 2024 10:26 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,186.216.10.69,,,,,rio de janeiro,Direct
b-Whatsapp_5521984850162_3040000001520711,Luzineide,"02 Sep, 2024 10:32 AM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
3de80473-e235-489d-9bf5-1194fb5a64de_a11,Visitor 99354,"02 Sep, 2024 10:34 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9CX0zz8wQFCODkeRuSFUh3-bm19gA0prKqEwg8G7b4cKRCrjp7JFLBoCKMIQAvD_BwE,Mobile,Busco Emprego,179.94.4.139,diarista,pesquisa,pacotelimpeza,google,sao paulo,Adwords
799e683d-8109-49aa-b754-4c844bff5890_a11,Visitor 811692,"02 Sep, 2024 10:35 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,179.94.4.139,,,,,sao paulo,Direct
799e683d-8109-49aa-b754-4c844bff5890_a11,Visitor 811692,"02 Sep, 2024 10:36 AM",https://russelvagas.com.br/vagas/,Mobile,Bom dia,179.94.4.139,,,,,sao paulo,Direct
201699e8-d4a5-45a3-8901-bcdc14d91783_a11,Visitor 964218,"02 Sep, 2024 10:47 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,45.187.97.213,,,,,sao paulo,Referrals
201699e8-d4a5-45a3-8901-bcdc14d91783_a11,Visitor 964218,"02 Sep, 2024 10:48 AM",https://russelvagas.com.br/,Mobile,Bom dia,45.187.97.213,,,,,sao paulo,Referrals
b-Whatsapp_5521984850162_3040000001520740,Marina Santos,"02 Sep, 2024 10:54 AM",,,Bom dia,,,,,,,WhatsApp
201699e8-d4a5-45a3-8901-bcdc14d91783_a11,Visitor 964218,"02 Sep, 2024 10:55 AM",https://russelvagas.com.br/,Mobile,Bom dia,45.187.97.213,,,,,sao paulo,Referrals
201699e8-d4a5-45a3-8901-bcdc14d91783_a11,Visitor 964218,"02 Sep, 2024 10:56 AM",https://russelvagas.com.br/vagas/,Mobile,Oi,45.187.97.213,,,,,sao paulo,Referrals
969f4019-16e3-4c16-a0fa-411a5f4a156f_a11,Visitor 768477,"02 Sep, 2024 11:09 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,45.169.108.39,,,,,minas gerais,Search Engine
969f4019-16e3-4c16-a0fa-411a5f4a156f_a11,Visitor 768477,"02 Sep, 2024 11:10 AM",https://russelvagas.com.br/vagas/,Mobile,Oi,45.169.108.39,,,,,minas gerais,Search Engine
b57d15db-7aec-4eff-9c1e-e96df71e2ed9_a11,Visitor 742845,"02 Sep, 2024 11:21 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMInazRsrakiAMVmR-tBh1qPwkDEAAYAiAAEgK_nPD_BwE,Mobile,Quero Contratar,177.96.78.248,diarista,pesquisa,pacotelimpeza,google,minas gerais,Adwords
b57d15db-7aec-4eff-9c1e-e96df71e2ed9_a11,Visitor 742845,"02 Sep, 2024 11:21 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMInazRsrakiAMVmR-tBh1qPwkDEAAYAiAAEgK_nPD_BwE,Mobile,Quero Contratar,177.96.78.248,,pesquisa,pacotelimpeza,google,minas gerais,Adwords
80be33e9-4c5c-4195-8e8c-8f18695bf38a_a11,Visitor 204728,"02 Sep, 2024 11:25 AM",https://russelvagas.com.br/,Mobile,Boa tarde!,187.108.124.252,,,,,minas gerais,Search Engine
5b959709-e745-4ce5-b979-94436b0f376b_a11,Visitor 925460,"02 Sep, 2024 11:26 AM",https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=youtube&utm_campaign=yremarketing&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PKTHwA9BqRGKgIm172vdDbRWny0anRx4ubQlJd5-a26NRLYqy8Z_RoCnK4QAvD_BwE,Mobile,Busco Emprego,189.39.178.71,,youtube,yremarketing,google,distrito federal,Adwords
936e4dd4-2042-4e87-b460-2950d55c4f4f_a11,Visitor 34999,"02 Sep, 2024 11:27 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om%20para%20festa&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PRGf3n7RQCn6f58MzjleQ3gvdQ6oxKEOY_V7EObP_sZ9H-lYN,Mobile,Quero Contratar,179.234.26.34,contratar garçom para festa,pesquisa,barerestaurante,google,minas gerais,Adwords
4d7153b6-1346-42dd-a008-2ffd840b5c99_a11,Visitor 534125,"02 Sep, 2024 11:34 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=m%C3%A3o%20de%20obra%20para%20carga%20e%20descarga&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9B__MvBhL3SnnCA0ujCB9D_EgqBhkocRAJBXIlVWVyD8,Mobile,Busco Emprego,177.37.234.61,mão de obra para carga e descarga,pesquisa,logistica,google,pernambuco,Adwords
4d7153b6-1346-42dd-a008-2ffd840b5c99_a11,Visitor 534125,"02 Sep, 2024 11:34 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=m%C3%A3o%20de%20obra%20para%20carga%20e%20descarga&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9B__MvBhL3SnnCA0ujCB9D_EgqBhkocRAJBXIlVWVyD8,Mobile,Busco Emprego,177.37.234.61,mão de obra para carga e descarga,pesquisa,logistica,google,pernambuco,Adwords
1ea40e63-c711-4ec7-97c6-c97ecb53f074_a11,Visitor 873020,"02 Sep, 2024 11:34 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,177.37.234.61,,,,,pernambuco,Direct
69c3b9f1-ed69-44aa-bd08-cf20f5769370_a11,Visitor 200117,"02 Sep, 2024 11:51 AM",https://russelservico.com.br/como-funciona,Mobile,ssssssscmxvvcccccccvvvcccvvvccvl,186.208.10.234,,,,,pernambuco,Referrals
0361843c-1c89-4ceb-b5c9-5680ab0e8609_a11,Visitor 768325,"02 Sep, 2024 11:52 AM",https://russelservico.com.br/,Desktop,Busco Emprego,45.5.82.233,,,,,goias,Search Engine
65c70f22-ef81-4368-ac9a-7a2f708e2721_a11,Visitor 17695,"02 Sep, 2024 11:53 AM",https://russelservico.com.br/,Mobile,Busco Emprego,45.190.122.30,,,,,maranhao,Direct
dd27b005-e526-44dc-acad-7365f4cd72dd_a11,Visitor 616096,"02 Sep, 2024 11:58 AM",https://russelservico.com.br/,Mobile,Busco Emprego,179.83.154.85,,,,,piaui,Direct
dd27b005-e526-44dc-acad-7365f4cd72dd_a11,Visitor 616096,"02 Sep, 2024 11:59 AM",https://russelservico.com.br/,Mobile,Busco Emprego,179.83.154.85,,,,,piaui,Direct
05cd1410-ace0-434b-8002-f94bdcb86afa_a11,Visitor 917969,"02 Sep, 2024 12:03 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9EpPY162FYKPqX_LUvGntdpKgON86AcKAQS85RRftUPu1YJlviTusBoC4ykQAvD_BwE,Mobile,Busco Emprego,187.11.110.94,contratar motorista,pesquisa,estacionamento,google,sao paulo,Adwords
b-Whatsapp_5521984850162_3040000001523229,Laércio,"02 Sep, 2024 12:05 PM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
216cbab1-5825-42dd-81b3-b86a53ed89c3_a11,Visitor 143401,"02 Sep, 2024 12:16 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad03&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9MyLasYGfbYaWyJIUenOjdcTC-drFK2RVeo_1atJoJVLKpTAePEsGBoC8OIQAvD_BwE,Mobile,Quero Contratar,179.160.46.158,contratar encanador,pesquisa,construcao,google,sao paulo,Adwords
b3191aa9-3350-437c-81da-7f3e2b49e7a8_a11,Visitor 743519,"02 Sep, 2024 12:22 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=terceirizacao&utm_content=ad06&utm_term=empresa%20terceirizada&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9LEgT2IHLmFj301YfcoXKCrTc7WTyzjykG5sgz7_NjpBdCALQ5VSthoCSgIQAvD_BwE,Mobile,Busco Emprego,177.180.12.112,empresa terceirizada,pesquisa,terceirizacao,google,para,Adwords
740dabe7-7eea-47fa-8c8c-99a6e95c9008_a11,Visitor 749528,"02 Sep, 2024 12:23 PM",https://russelvagas.com.br/,Mobile,Quero emprego.,177.180.12.112,,,,,para,Direct
ae69fd5a-a7d9-49a8-9e51-a8d4cbe9f9ed_a11,Visitor 966860,"02 Sep, 2024 12:25 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DAPgkTTaP_rr3BW9NiBUA7cRd63nfkWzpvUgL2VoaTV1Yjdb4-EORoC1VkQAvD_BwE,Mobile,Quero Contratar,200.173.208.143,diarista,pesquisa,pacotelimpeza,google,santa catarina,Adwords
b-Whatsapp_5521984850162_3040000001523298,SC,"02 Sep, 2024 12:34 PM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
1537a3c0-a1f7-4df4-9149-eea4d75435e0_a11,Visitor 387779,"02 Sep, 2024 12:35 PM",https://russelservico.com.br/,Mobile,Busco Emprego,179.197.177.129,,,,,rio de janeiro,Direct
b-Whatsapp_5521984850162_3040000001520843,M.,"02 Sep, 2024 12:43 PM",,,Bom dia! Alguma vaga para área de solda ?,,,,,,,WhatsApp
4e359619-7e3b-4122-a933-636d3819465e_a11,Visitor 411568,"02 Sep, 2024 12:46 PM",https://russelvagas.com.br/vagas-pesquisa/?filter-title=Soldador+&filter-location=,Mobile,Quero emprego.,191.177.194.251,,,,,parana,Direct
3b30e025-54b1-4079-a67c-2c9af9ce55a6_a11,Visitor 778973,"02 Sep, 2024 12:52 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gbraid=0AAAAADGsFhjiwaPRwPZWNV8I8tNaG3ZP2&gclid=EAIaIQobChMIkJCx0M6kiAMVMwytBh0w2SyJEAAYASAAEgKPivD_BwE,Mobile,Quero Contratar,189.63.35.228,contratar pedreiro,pesquisa,construcao,google,goias,Adwords
466fd3b9-fe92-42ac-aea3-6553617e246e_a11,Visitor 999739,"02 Sep, 2024 12:53 PM",https://russelservico.com.br/?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Aw_EeN045NLDc0PvCmjBLi2wXPuxaFK-lK1lIFx0KN24rdvdmRP7hoC_d8QAvD_BwE,Mobile,Quero Contratar,201.131.85.36,,youtube,ygeral,google,santa catarina,Adwords
b-Whatsapp_5521984850162_3040000001520876,Joel,"02 Sep, 2024 12:55 PM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
356d6e2a-100a-4631-b097-891efd886c38_a11,Visitor 665400,"02 Sep, 2024 01:04 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=padeiro&gad_source=1&gbraid=0AAAAADGsFhjGA2vim2_WaaB10jb16tYrp&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9KE6X_g-g46kSKwtsP1K5JAA796RQUUPrf5MNMf,Mobile,Quero Contratar,172.225.82.176,padeiro,pesquisa,barerestaurante,google,sao paulo,Adwords
61266779-a7c5-4b2d-8937-faf6c2d86d32_a11,Visitor 512888,"02 Sep, 2024 01:05 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad04&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Ev8sxE_d4XOv2h3bcIIec5uDbQ2jqB-au2D5ooKJNNsc0T1kTNKVxoC0dkQAvD_BwE,Mobile,Quero Contratar,191.222.50.137,contratar encanador,pesquisa,construcao,google,rondonia,Adwords
98dbca23-6972-40f0-b4d1-bc0d3f2ab28f_a11,Visitor 862817,"02 Sep, 2024 01:12 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=adm&utm_content=ad02&utm_term=secret%C3%A1ria&gad_source=1&gclid=EAIaIQobChMI792UjdOkiAMVZCCtBh2oMTOvEAAYAiAAEgLup_D_BwE,Desktop,Quero Contratar,177.140.117.164,secretária,pesquisa,adm,google,sao paulo,Adwords
0c4059eb-ad67-4826-a894-de79c528fa54_a11,Visitor 291788,"02 Sep, 2024 01:15 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad03&utm_term=contratar%20vendedor%20freelancer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HH3e9tZmgzlADhGIPEBF4v3fMdkjUr7XxbLT9Q5mrJpwgLBW8p6mRoCqbgQAvD_,Mobile,Busco Emprego,187.85.19.100,contratar vendedor freelancer,pesquisa,varejo,google,sao paulo,Adwords
b5cefe93-fedc-4be5-97ca-7bd496a50621_a11,Visitor 346822,"02 Sep, 2024 01:18 PM",https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=quero%20contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Bi92zk4t9B3zqLIR8fioAaTWbVac86vUMH2FLhvZNyXvQMG0Ghk,Mobile,Busco Emprego,191.247.31.57,quero contratar motorista,pesquisa,logistica,google,ceara,Adwords
b-Whatsapp_5521984850162_3040000001520464,Gabriel Malaquias,"02 Sep, 2024 01:26 PM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
d3fa9171-655d-4a55-a00a-12c064f6643d_a11,Visitor 633788,"02 Sep, 2024 01:36 PM",https://russelservico.com.br/,Mobile,Busco Emprego,179.102.135.128,,,,,espirito santo,Search Engine
e4f4b6b5-b088-4113-90e8-99b6593e8bc1_a11,Visitor 744399,"02 Sep, 2024 01:38 PM",https://russelvagas.com.br/,Mobile,Quero emprego.,179.102.135.128,,,,,espirito santo,Direct
dc15c913-6f07-4459-a227-47271eee190e_a11,Visitor 586695,"02 Sep, 2024 01:56 PM",https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KjWBfMjkrfHY9a6us-oMhonoYwAZ-rL6vsMJT9XV5PFFqYUgpLGIZJQz8M1NLrGmJ4TWbkF7hfq9VG5FE87ujejQoqp-GgL3m,Mobile,Kkjjbbbbowi a iihne s,179.96.135.199,,youtube,ygeral,google,sao paulo,Campaigns
8a5cd909-4cb0-425d-86e8-44ab6ca04f67_a11,Visitor 742403,"02 Sep, 2024 02:05 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OPApAkvfjNt8bo9dweIrnt12HCxpfE3Az_q_ES0AdpTkKTzhTd5pRoCq6cQAvD_B,Mobile,Busco Emprego,45.184.190.52,contratar garçom,pesquisa,barerestaurante,google,parana,Adwords
159f9850-23b6-4152-9e84-1860a6ee6fa2_a11,Visitor 195908,"02 Sep, 2024 02:06 PM",https://russelvagas.com.br/,Mobile,Quero emprego.,45.184.190.52,,,,,parana,Direct
ff045a3f-24ba-437e-9a01-3944f44e3a45_a11,Visitor 829820,"02 Sep, 2024 02:07 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=motorista%20particular&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DKpVgWJUmv1CU6LLZeL40fhXf1i9k7kuEskx8JCNh6ik5HfD08HhRoCHIIQAvD_BwE,Mobile,Busco Emprego,45.184.165.239,motorista particular,pesquisa,estacionamento,google,sao paulo,Adwords
ab3c3d5e-8c8f-475e-b49b-3532275c1b29_a11,Visitor 768362,"02 Sep, 2024 02:07 PM",https://russelvagas.com.br/,Mobile,Quero emprego.,45.184.165.239,,,,,sao paulo,Direct
ab3c3d5e-8c8f-475e-b49b-3532275c1b29_a11,Visitor 768362,"02 Sep, 2024 02:08 PM",https://russelvagas.com.br/vagas/,Mobile,Boa tarde,45.184.165.239,,,,,sao paulo,Direct
554f52af-6e48-4130-b351-a5e61099e6d0_a11,Visitor 934218,"02 Sep, 2024 02:21 PM",https://russelservico.com.br/?utm_source=taboola&utm_medium=referral&tblci=GiDrsvF-zZmvpX-caVIv2yll0-HHx8ujsQxwemgPk2TFyiDGlkooqZymxOHlxJH6ATCl3lM,Desktop,Busco Emprego,170.247.196.62,,,,taboola,alagoas,Campaigns
188c8e26-54cd-483a-8ab1-b10ea03d66ad_a11,Visitor 779699,"02 Sep, 2024 02:37 PM",https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KmM5_UD9640juKU6EU8ZdWks8mzqH7G6qcjQvBR4Pi4hhN5WhDyYwywZ2s1Vg0ORDWBFSajDZN4iaoeS0dd1Q4F837PwGgJS6,Mobile,Busco Emprego,181.233.82.161,,youtube,ygeral,google,paraiba,Campaigns
4698553a-7292-4f60-8ac8-6d5d2b539982_a11,Visitor 830918,"02 Sep, 2024 02:38 PM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PhNEni8xw-23Hpjceg09kp9-aBD9qVFf8FuJJOdnbEmH-QALHq3AxoCnTIQAvD_BwE,Mobile,Quero Contratar,189.82.208.148,diarista,pesquisa,pacotelimpeza,google,para,Adwords
e296c014-8895-4d73-b2ff-fe3562b2fa8c_a11,Visitor 714579,"02 Sep, 2024 02:43 PM",https://russelvagas.com.br/,Mobile,Quero emprego.,138.117.63.239,,,,,sao paulo,Referrals
e264c9d1-22d3-44ae-9a37-2f1d5adee0f8_a11,Visitor 668064,"02 Sep, 2024 02:45 PM",https://russelservico.com.br/,Desktop,Quero Contratar,179.133.59.165,,,,,sao paulo,Direct
