Data,ID do Visitante,Canal,Página de Aterrissagem,Question,Origem,Meio,Campanha,Estado,Keyword,Qualificação,Contagem,Taxa de Conversão
04/09/2024,Visitor 534125,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=m%C3%A3o%20de%20obra%20para%20carga%20e%20descarga&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9B__MvBhL3SnnCA0ujCB9D_EgqBhkocRAJBXIlVWVyD8,Busco Emprego,google,pesquisa,logistica,pernambuco,mão de obra para carga e descarga,Emprego,,
04/09/2024,Visitor 873020,Direct,https://russelvagas.com.br/,Quero emprego.,,,,pernambuco,,Qualificado,,
04/09/2024,Visitor 200117,Referrals,https://russelservico.com.br/como-funciona,ssssssscmxvvcccccccvvvcccvvvccvl,,,,pernambuco,,Qualificado,,
04/09/2024,Visitor 768325,Search Engine,https://russelservico.com.br/,Busco Emprego,,,,goias,,Emprego,,
04/09/2024,Visitor 17695,Direct,https://russelservico.com.br/,Busco Emprego,,,,maranhao,,Emprego,,
04/09/2024,Visitor 616096,Direct,https://russelservico.com.br/,Busco Emprego,,,,piaui,,Emprego,,
04/09/2024,Visitor 917969,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9EpPY162FYKPqX_LUvGntdpKgON86AcKAQS85RRftUPu1YJlviTusBoC4ykQAvD_BwE,Busco Emprego,google,pesquisa,estacionamento,sao paulo,contratar motorista,Emprego,,
04/09/2024,Laércio,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Qualificado,,
04/09/2024,Visitor 143401,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad03&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9MyLasYGfbYaWyJIUenOjdcTC-drFK2RVeo_1atJoJVLKpTAePEsGBoC8OIQAvD_BwE,Quero Contratar,google,pesquisa,construcao,sao paulo,contratar encanador,Não Qualificado,,
04/09/2024,Visitor 743519,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=terceirizacao&utm_content=ad06&utm_term=empresa%20terceirizada&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9LEgT2IHLmFj301YfcoXKCrTc7WTyzjykG5sgz7_NjpBdCALQ5VSthoCSgIQAvD_BwE,Busco Emprego,google,pesquisa,terceirizacao,para,empresa terceirizada,Emprego,,
04/09/2024,Visitor 749528,Direct,https://russelvagas.com.br/,Quero emprego.,,,,para,,Não Qualificado,,
04/09/2024,Visitor 966860,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DAPgkTTaP_rr3BW9NiBUA7cRd63nfkWzpvUgL2VoaTV1Yjdb4-EORoC1VkQAvD_BwE,Quero Contratar,google,pesquisa,pacotelimpeza,santa catarina,diarista,Não Qualificado,,
04/09/2024,SC,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Qualificado,,
04/09/2024,Visitor 387779,Direct,https://russelservico.com.br/,Busco Emprego,,,,rio de janeiro,,Emprego,,
04/09/2024,M.,WhatsApp,,Bom dia! Alguma vaga para área de solda ?,,,,,,Não Qualificado,,
04/09/2024,Visitor 411568,Direct,https://russelvagas.com.br/vagas-pesquisa/?filter-title=Soldador+&filter-location=,Quero emprego.,,,,parana,,Não Qualificado,,
04/09/2024,Visitor 778973,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gbraid=0AAAAADGsFhjiwaPRwPZWNV8I8tNaG3ZP2&gclid=EAIaIQobChMIkJCx0M6kiAMVMwytBh0w2SyJEAAYASAAEgKPivD_BwE,Quero Contratar,google,pesquisa,construcao,goias,contratar pedreiro,Não Qualificado,,
04/09/2024,Visitor 999739,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Aw_EeN045NLDc0PvCmjBLi2wXPuxaFK-lK1lIFx0KN24rdvdmRP7hoC_d8QAvD_BwE,Quero Contratar,google,youtube,ygeral,santa catarina,,Não Qualificado,,
04/09/2024,Joel,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 665400,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=padeiro&gad_source=1&gbraid=0AAAAADGsFhjGA2vim2_WaaB10jb16tYrp&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9KE6X_g-g46kSKwtsP1K5JAA796RQUUPrf5MNMf,Quero Contratar,google,pesquisa,barerestaurante,sao paulo,padeiro,Não Qualificado,,
04/09/2024,Visitor 512888,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad04&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Ev8sxE_d4XOv2h3bcIIec5uDbQ2jqB-au2D5ooKJNNsc0T1kTNKVxoC0dkQAvD_BwE,Quero Contratar,google,pesquisa,construcao,rondonia,contratar encanador,Não Qualificado,,
04/09/2024,Visitor 862817,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=adm&utm_content=ad02&utm_term=secret%C3%A1ria&gad_source=1&gclid=EAIaIQobChMI792UjdOkiAMVZCCtBh2oMTOvEAAYAiAAEgLup_D_BwE,Quero Contratar,google,pesquisa,adm,sao paulo,secretária,Não Qualificado,,
04/09/2024,Visitor 291788,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad03&utm_term=contratar%20vendedor%20freelancer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HH3e9tZmgzlADhGIPEBF4v3fMdkjUr7XxbLT9Q5mrJpwgLBW8p6mRoCqbgQAvD_,Busco Emprego,google,pesquisa,varejo,sao paulo,contratar vendedor freelancer,Emprego,,
04/09/2024,Visitor 346822,Adwords,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=quero%20contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Bi92zk4t9B3zqLIR8fioAaTWbVac86vUMH2FLhvZNyXvQMG0Ghk,Busco Emprego,google,pesquisa,logistica,ceara,quero contratar motorista,Emprego,,
04/09/2024,Gabriel Malaquias,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Qualificado,,
04/09/2024,Visitor 633788,Search Engine,https://russelservico.com.br/,Busco Emprego,,,,espirito santo,,Emprego,,
04/09/2024,Visitor 744399,Direct,https://russelvagas.com.br/,Quero emprego.,,,,espirito santo,,Não Qualificado,,
04/09/2024,Visitor 586695,Campaigns,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KjWBfMjkrfHY9a6us-oMhonoYwAZ-rL6vsMJT9XV5PFFqYUgpLGIZJQz8M1NLrGmJ4TWbkF7hfq9VG5FE87ujejQoqp-GgL3m,Kkjjbbbbowi a iihne s,google,youtube,ygeral,sao paulo,,Não Qualificado,,
04/09/2024,Visitor 742403,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OPApAkvfjNt8bo9dweIrnt12HCxpfE3Az_q_ES0AdpTkKTzhTd5pRoCq6cQAvD_B,Busco Emprego,google,pesquisa,barerestaurante,parana,contratar garçom,Emprego,,
04/09/2024,Visitor 195908,Direct,https://russelvagas.com.br/,Quero emprego.,,,,parana,,Não Qualificado,,
04/09/2024,Visitor 829820,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=motorista%20particular&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DKpVgWJUmv1CU6LLZeL40fhXf1i9k7kuEskx8JCNh6ik5HfD08HhRoCHIIQAvD_BwE,Busco Emprego,google,pesquisa,estacionamento,sao paulo,motorista particular,Emprego,,
04/09/2024,Visitor 768362,Direct,https://russelvagas.com.br/,Quero emprego.,,,,sao paulo,,Não Qualificado,,
04/09/2024,Visitor 934218,Campaigns,https://russelservico.com.br/?utm_source=taboola&utm_medium=referral&tblci=GiDrsvF-zZmvpX-caVIv2yll0-HHx8ujsQxwemgPk2TFyiDGlkooqZymxOHlxJH6ATCl3lM,Busco Emprego,taboola,,,alagoas,,Emprego,,
04/09/2024,Visitor 779699,Campaigns,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KmM5_UD9640juKU6EU8ZdWks8mzqH7G6qcjQvBR4Pi4hhN5WhDyYwywZ2s1Vg0ORDWBFSajDZN4iaoeS0dd1Q4F837PwGgJS6,Busco Emprego,google,youtube,ygeral,paraiba,,Emprego,,
04/09/2024,Visitor 830918,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PhNEni8xw-23Hpjceg09kp9-aBD9qVFf8FuJJOdnbEmH-QALHq3AxoCnTIQAvD_BwE,Quero Contratar,google,pesquisa,pacotelimpeza,para,diarista,Não Qualificado,,
04/09/2024,Visitor 714579,Referrals,https://russelvagas.com.br/,Quero emprego.,,,,sao paulo,,Não Qualificado,,
04/09/2024,Visitor 668064,Direct,https://russelservico.com.br/,Quero Contratar,,,,sao paulo,,Qualificado,,
04/09/2024,Visitor 207887,Referrals,https://russelvagas.com.br/job/bombeiro-hidraulico-construcao-de-edificios-r-2-91151-nova-iguacu/,Quero emprego.,,,,rio de janeiro,,Qualificado,,
04/09/2024,Visitor 611840,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PYTSzH0dmJ7b3KXF2wg8sqQ_7zd8ftkc9RPNRWssyN_KuRYF1cH3xoCmbAQAvD_BwE,Busco Emprego,google,pesquisa,varejo,rio grande do norte,contratar vendedor,Emprego,,
04/09/2024,Visitor 879458,Direct,https://russelvagas.com.br/,Quero emprego.,,,,rio grande do norte,,Não Qualificado,,
04/09/2024,Visitor 612821,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Ignw_Kfjop764gpamvviKXXBtloyCSnBCLDm_Lp,Quero Contratar,google,pesquisa,pacotelimpeza,pernambuco,diarista,Qualificado,,
04/09/2024,Visitor 944781,Search Engine,https://russelservico.com.br/,Busco Emprego,,,,sao paulo,,Emprego,,
04/09/2024,Renan,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 466390,Adwords,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMImJrm3u-kiAMVpSKHAx2Z-jeVEAAYASABEgJTJPD,Quero Contratar,google,pesquisa,pacotelimpeza,santa catarina,diarista,Qualificado,,
04/09/2024,Paulo Anderson,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 595821,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PBgbK5nmQC9dfAwo-yqi5fsDn2kFbAnbi7KxiJO9qrzrO-fDlU3KhoCZSIQAvD_BwE,Busco Emprego,google,pesquisa,pacotelimpeza,goias,diarista,Emprego,,
04/09/2024,Visitor 632363,Direct,https://russelvagas.com.br/,Quero emprego.,,,,goias,,Não Qualificado,,
04/09/2024,Visitor 628771,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad03&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9J0y91l3HeDVPy1lPnJEX2QLM8rIkD8tvfFrr9shs0dGTmnf6DnkuRoCZtcQAvD_BwE,Quero Contratar,google,pesquisa,construcao,sao paulo,contratar encanador,Não Qualificado,,
04/09/2024,Madalena Veras,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Qualificado,,
04/09/2024,Visitor 907269,Referrals,https://russelvagas.com.br/,Quero emprego.,,,,rio grande do sul,,Qualificado,,
04/09/2024,Visitor 341322,Search Engine,https://russelservico.com.br/,Quero Contratar,,,,parana,,Qualificado,,
04/09/2024,Visitor 1922,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=operador%20de%20escavadeira&gad_source=1&gclid=EAIaIQobChMIpuLP6_6kiAMVXF5IAB1Q_QaGEAAYASAAEgKdrPD_BwE,Quero Contratar,google,pesquisa,opmaquinas,minas gerais,operador de escavadeira,Não Qualificado,,
04/09/2024,Visitor 975081,Direct,https://russelservico.com.br/pesquisa?v=Cozinheiro,Quero Contratar,,,,rio de janeiro,,Não Qualificado,,
04/09/2024,Visitor 209071,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=terceirizacao&utm_content=ad06&utm_term=empresa%20terceirizada&gad_source=1&gbraid=0AAAAADGsFhgOq9yYWqGia_O8yjun8SsvD&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9EYFovhCqL9i0cpWmGJk0KG0Qx,Quero Contratar,google,pesquisa,terceirizacao,alagoas,empresa terceirizada,Qualificado,,
04/09/2024,Visitor 188139,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad03&utm_term=contratar%20operador%20empilhadeira&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9KhCt5B2vVMSOUox8HsPQVyyuMUZ2TZ6N_uoa8ZDMY9P3Air0ItKuRoCyt,Busco Emprego,google,pesquisa,opmaquinas,mato grosso,contratar operador empilhadeira,Emprego,,
04/09/2024,Visitor 215253,Direct,https://russelvagas.com.br/,Quero emprego.,,,,mato grosso,,Não Qualificado,,
04/09/2024,Visitor 495927,Direct,https://russelvagas.com.br/,FALE CONOSCO,,,,minas gerais,,Não Qualificado,,
04/09/2024,Alexandre,Direct,https://russelservico.com.br/pesquisa?v=Cozinheiro,Quero Contratar,,,,rio de janeiro,,Qualificado,,
